Cenario 0 S(t),Cenario 0 I(t),Cenario 0 R(t),Cenario 0 D(t),Cenario 1 S(t),Cenario 1 I(t),Cenario 1 R(t),Cenario 1 D(t),Cenario 2 S(t),Cenario 2 I(t),Cenario 2 R(t),Cenario 2 D(t),tempo(t)
069.5602659863,002.3681312583,000.0716027553,000.0014320551,069.5602659863,002.3681312583,000.0716027553,000.0014320551,069.5602659863,002.3681312583,000.0716027553,000.0014320551,002.9000
069.5437932023,002.3819129841,000.0742938136,000.0014858763,069.5437932023,002.3819129841,000.0742938136,000.0014858763,069.5437932023,002.3819129841,000.0742938136,000.0014858763,003.0000
069.5272284759,002.3957709912,000.0770005329,000.0015400107,069.5272284759,002.3957709912,000.0770005329,000.0015400107,069.5272284759,002.3957709912,000.0770005329,000.0015400107,003.1000
069.5105713442,002.4097056559,000.0797229999,000.0015944600,069.5105713442,002.4097056559,000.0797229999,000.0015944600,069.5105713442,002.4097056559,000.0797229999,000.0015944600,003.2000
069.4938213425,002.4237173557,000.0824613018,000.0016492260,069.4938213425,002.4237173557,000.0824613018,000.0016492260,069.4938213425,002.4237173557,000.0824613018,000.0016492260,003.3000
069.4769780044,002.4378064695,000.0852155260,000.0017043105,069.4769780044,002.4378064695,000.0852155260,000.0017043105,069.4769780044,002.4378064695,000.0852155260,000.0017043105,003.4000
069.4600408618,002.4519733775,000.0879857607,000.0017597152,069.4600408618,002.4519733775,000.0879857607,000.0017597152,069.4600408618,002.4519733775,000.0879857607,000.0017597152,003.5000
069.4430094447,002.4662184613,000.0907720941,000.0018154419,069.4430094447,002.4662184613,000.0907720941,000.0018154419,069.4430094447,002.4662184613,000.0907720941,000.0018154419,003.6000
069.4258832815,002.4805421035,000.0935746150,000.0018714923,069.4258832815,002.4805421035,000.0935746150,000.0018714923,069.4258832815,002.4805421035,000.0935746150,000.0018714923,003.7000
069.4086618988,002.4949446883,000.0963934129,000.0019278683,069.4086618988,002.4949446883,000.0963934129,000.0019278683,069.4086618988,002.4949446883,000.0963934129,000.0019278683,003.8000
069.3913448216,002.5094266011,000.0992285773,000.0019845715,069.3913448216,002.5094266011,000.0992285773,000.0019845715,069.3913448216,002.5094266011,000.0992285773,000.0019845715,003.9000
069.3739315730,002.5239882286,000.1020801984,000.0020416040,069.3739315730,002.5239882286,000.1020801984,000.0020416040,069.3739315730,002.5239882286,000.1020801984,000.0020416040,004.0000
069.3564216743,002.5386299588,000.1049483669,000.0020989673,069.3564216743,002.5386299588,000.1049483669,000.0020989673,069.3564216743,002.5386299588,000.1049483669,000.0020989673,004.1000
069.3388146453,002.5533521811,000.1078331736,000.0021566635,069.3388146453,002.5533521811,000.1078331736,000.0021566635,069.3388146453,002.5533521811,000.1078331736,000.0021566635,004.2000
069.3211100039,002.5681552858,000.1107347102,000.0022146942,069.3211100039,002.5681552858,000.1107347102,000.0022146942,069.3211100039,002.5681552858,000.1107347102,000.0022146942,004.3000
069.3033072664,002.5830396651,000.1136530685,000.0022730614,069.3033072664,002.5830396651,000.1136530685,000.0022730614,069.3033072664,002.5830396651,000.1136530685,000.0022730614,004.4000
069.2854059473,002.5980057119,000.1165883408,000.0023317668,069.2854059473,002.5980057119,000.1165883408,000.0023317668,069.2854059473,002.5980057119,000.1165883408,000.0023317668,004.5000
069.2674055592,002.6130538207,000.1195406201,000.0023908124,069.2674055592,002.6130538207,000.1195406201,000.0023908124,069.2674055592,002.6130538207,000.1195406201,000.0023908124,004.6000
069.2493056134,002.6281843872,000.1225099994,000.0024502000,069.2493056134,002.6281843872,000.1225099994,000.0024502000,069.2493056134,002.6281843872,000.1225099994,000.0024502000,004.7000
069.2311056190,002.6433978085,000.1254965726,000.0025099315,069.2311056190,002.6433978085,000.1254965726,000.0025099315,069.2311056190,002.6433978085,000.1254965726,000.0025099315,004.8000
069.2128050837,002.6586944826,000.1285004337,000.0025700087,069.2128050837,002.6586944826,000.1285004337,000.0025700087,069.2128050837,002.6586944826,000.1285004337,000.0025700087,004.9000
069.1944035134,002.6740748092,000.1315216774,000.0026304335,069.1944035134,002.6740748092,000.1315216774,000.0026304335,069.1944035134,002.6740748092,000.1315216774,000.0026304335,005.0000
069.1759004122,002.6895391889,000.1345603988,000.0026912080,069.1759004122,002.6895391889,000.1345603988,000.0026912080,069.1759004122,002.6895391889,000.1345603988,000.0026912080,005.1000
069.1572952827,002.7050880239,000.1376166934,000.0027523339,069.1572952827,002.7050880239,000.1376166934,000.0027523339,069.1572952827,002.7050880239,000.1376166934,000.0027523339,005.2000
069.1385876256,002.7207217174,000.1406906570,000.0028138131,069.1385876256,002.7207217174,000.1406906570,000.0028138131,069.1385876256,002.7207217174,000.1406906570,000.0028138131,005.3000
069.1197769399,002.7364406738,000.1437823862,000.0028756477,069.1197769399,002.7364406738,000.1437823862,000.0028756477,069.1197769399,002.7364406738,000.1437823862,000.0028756477,005.4000
069.1008627230,002.7522452991,000.1468919779,000.0029378396,069.1008627230,002.7522452991,000.1468919779,000.0029378396,069.1008627230,002.7522452991,000.1468919779,000.0029378396,005.5000
069.0818444706,002.7681360000,000.1500195294,000.0030003906,069.0818444706,002.7681360000,000.1500195294,000.0030003906,069.0818444706,002.7681360000,000.1500195294,000.0030003906,005.6000
069.0627216765,002.7841131850,000.1531651385,000.0030633028,069.0627216765,002.7841131850,000.1531651385,000.0030633028,069.0627216765,002.7841131850,000.1531651385,000.0030633028,005.7000
069.0434938331,002.8001772634,000.1563289035,000.0031265781,069.0434938331,002.8001772634,000.1563289035,000.0031265781,069.0434938331,002.8001772634,000.1563289035,000.0031265781,005.8000
069.0241604309,002.8163286460,000.1595109231,000.0031902185,069.0241604309,002.8163286460,000.1595109231,000.0031902185,069.0241604309,002.8163286460,000.1595109231,000.0031902185,005.9000
069.0047209589,002.8325677445,000.1627112965,000.0032542259,069.0047209589,002.8325677445,000.1627112965,000.0032542259,069.0047209589,002.8325677445,000.1627112965,000.0032542259,006.0000
068.9851749042,002.8488949722,000.1659301235,000.0033186025,068.9851749042,002.8488949722,000.1659301235,000.0033186025,068.9851749042,002.8488949722,000.1659301235,000.0033186025,006.1000
068.9655217524,002.8653107434,000.1691675042,000.0033833501,068.9655217524,002.8653107434,000.1691675042,000.0033833501,068.9655217524,002.8653107434,000.1691675042,000.0033833501,006.2000
068.9457609874,002.8818154735,000.1724235391,000.0034484708,068.9457609874,002.8818154735,000.1724235391,000.0034484708,068.9457609874,002.8818154735,000.1724235391,000.0034484708,006.3000
068.9258920913,002.8984095793,000.1756983294,000.0035139666,068.9258920913,002.8984095793,000.1756983294,000.0035139666,068.9258920913,002.8984095793,000.1756983294,000.0035139666,006.4000
068.9059145447,002.9150934786,000.1789919767,000.0035798395,068.9059145447,002.9150934786,000.1789919767,000.0035798395,068.9059145447,002.9150934786,000.1789919767,000.0035798395,006.5000
068.8858278265,002.9318675906,000.1823045829,000.0036460917,068.8858278265,002.9318675906,000.1823045829,000.0036460917,068.8858278265,002.9318675906,000.1823045829,000.0036460917,006.6000
068.8656314139,002.9487323355,000.1856362506,000.0037127250,068.8656314139,002.9487323355,000.1856362506,000.0037127250,068.8656314139,002.9487323355,000.1856362506,000.0037127250,006.7000
068.8453247825,002.9656881347,000.1889870828,000.0037797417,068.8453247825,002.9656881347,000.1889870828,000.0037797417,068.8453247825,002.9656881347,000.1889870828,000.0037797417,006.8000
068.8249074062,002.9827354108,000.1923571830,000.0038471437,068.8249074062,002.9827354108,000.1923571830,000.0038471437,068.8249074062,002.9827354108,000.1923571830,000.0038471437,006.9000
068.8043787574,002.9998745876,000.1957466550,000.0039149331,068.8043787574,002.9998745876,000.1957466550,000.0039149331,068.8043787574,002.9998745876,000.1957466550,000.0039149331,007.0000
068.7837383066,003.0171060900,000.1991556034,000.0039831121,068.7837383066,003.0171060900,000.1991556034,000.0039831121,068.7837383066,003.0171060900,000.1991556034,000.0039831121,007.1000
068.7629855231,003.0344303439,000.2025841331,000.0040516827,068.7629855231,003.0344303439,000.2025841331,000.0040516827,068.7629855231,003.0344303439,000.2025841331,000.0040516827,007.2000
068.7421198741,003.0518477766,000.2060323494,000.0041206470,068.7421198741,003.0518477766,000.2060323494,000.0041206470,068.7421198741,003.0518477766,000.2060323494,000.0041206470,007.3000
068.7211408255,003.0693588163,000.2095003582,000.0041900072,068.7211408255,003.0693588163,000.2095003582,000.0041900072,068.7211408255,003.0693588163,000.2095003582,000.0041900072,007.4000
068.7000478416,003.0869638925,000.2129882659,000.0042597653,068.7000478416,003.0869638925,000.2129882659,000.0042597653,068.7000478416,003.0869638925,000.2129882659,000.0042597653,007.5000
068.6788403848,003.1046634357,000.2164961795,000.0043299236,068.6788403848,003.1046634357,000.2164961795,000.0043299236,068.6788403848,003.1046634357,000.2164961795,000.0043299236,007.6000
068.6575179164,003.1224578775,000.2200242061,000.0044004841,068.6575179164,003.1224578775,000.2200242061,000.0044004841,068.6575179164,003.1224578775,000.2200242061,000.0044004841,007.7000
068.6360798956,003.1403476507,000.2235724537,000.0044714491,068.6360798956,003.1403476507,000.2235724537,000.0044714491,068.6360798956,003.1403476507,000.2235724537,000.0044714491,007.8000
068.6145257804,003.1583331890,000.2271410306,000.0045428206,068.6145257804,003.1583331890,000.2271410306,000.0045428206,068.6145257804,003.1583331890,000.2271410306,000.0045428206,007.9000
068.5928550270,003.1764149275,000.2307300455,000.0046146009,068.5928550270,003.1764149275,000.2307300455,000.0046146009,068.5928550270,003.1764149275,000.2307300455,000.0046146009,008.0000
068.5710670901,003.1945933019,000.2343396080,000.0046867922,068.5710670901,003.1945933019,000.2343396080,000.0046867922,068.5710670901,003.1945933019,000.2343396080,000.0046867922,008.1000
068.5491614230,003.2128687494,000.2379698276,000.0047593966,068.5491614230,003.2128687494,000.2379698276,000.0047593966,068.5491614230,003.2128687494,000.2379698276,000.0047593966,008.2000
068.5271374771,003.2312417080,000.2416208148,000.0048324163,068.5271374771,003.2312417080,000.2416208148,000.0048324163,068.5271374771,003.2312417080,000.2416208148,000.0048324163,008.3000
068.5049947026,003.2497126169,000.2452926804,000.0049058536,068.5049947026,003.2497126169,000.2452926804,000.0049058536,068.5049947026,003.2497126169,000.2452926804,000.0049058536,008.4000
068.4827325481,003.2682819163,000.2489855357,000.0049797107,068.4827325481,003.2682819163,000.2489855357,000.0049797107,068.4827325481,003.2682819163,000.2489855357,000.0049797107,008.5000
068.4603504604,003.2869500472,000.2526994924,000.0050539898,068.4603504604,003.2869500472,000.2526994924,000.0050539898,068.4603504604,003.2869500472,000.2526994924,000.0050539898,008.6000
068.4378478852,003.3057174519,000.2564346629,000.0051286933,068.4378478852,003.3057174519,000.2564346629,000.0051286933,068.4378478852,003.3057174519,000.2564346629,000.0051286933,008.7000
068.4152242664,003.3245845736,000.2601911600,000.0052038232,068.4152242664,003.3245845736,000.2601911600,000.0052038232,068.4152242664,003.3245845736,000.2601911600,000.0052038232,008.8000
068.3924790465,003.3435518565,000.2639690970,000.0052793819,068.3924790465,003.3435518565,000.2639690970,000.0052793819,068.3924790465,003.3435518565,000.2639690970,000.0052793819,008.9000
068.3696116665,003.3626197458,000.2677685878,000.0053553718,068.3696116665,003.3626197458,000.2677685878,000.0053553718,068.3696116665,003.3626197458,000.2677685878,000.0053553718,009.0000
068.3466215659,003.3817886876,000.2715897466,000.0054317949,068.3466215659,003.3817886876,000.2715897466,000.0054317949,068.3466215659,003.3817886876,000.2715897466,000.0054317949,009.1000
068.3235081827,003.4010591291,000.2754326883,000.0055086538,068.3235081827,003.4010591291,000.2754326883,000.0055086538,068.3235081827,003.4010591291,000.2754326883,000.0055086538,009.2000
068.3002709536,003.4204315183,000.2792975282,000.0055859506,068.3002709536,003.4204315183,000.2792975282,000.0055859506,068.3002709536,003.4204315183,000.2792975282,000.0055859506,009.3000
068.2769093136,003.4399063042,000.2831843822,000.0056636876,068.2769093136,003.4399063042,000.2831843822,000.0056636876,068.2769093136,003.4399063042,000.2831843822,000.0056636876,009.4000
068.2534226965,003.4594839369,000.2870933666,000.0057418673,068.2534226965,003.4594839369,000.2870933666,000.0057418673,068.2534226965,003.4594839369,000.2870933666,000.0057418673,009.5000
068.2298105346,003.4791648671,000.2910245984,000.0058204920,068.2298105346,003.4791648671,000.2910245984,000.0058204920,068.2298105346,003.4791648671,000.2910245984,000.0058204920,009.6000
068.2060722586,003.4989495466,000.2949781948,000.0058995639,068.2060722586,003.4989495466,000.2949781948,000.0058995639,068.2060722586,003.4989495466,000.2949781948,000.0058995639,009.7000
068.1822072981,003.5188384281,000.2989542738,000.0059790855,068.1822072981,003.5188384281,000.2989542738,000.0059790855,068.1822072981,003.5188384281,000.2989542738,000.0059790855,009.8000
068.1582150809,003.5388319652,000.3029529539,000.0060590591,068.1582150809,003.5388319652,000.3029529539,000.0060590591,068.1582150809,003.5388319652,000.3029529539,000.0060590591,009.9000
