Cenario 0 S(t),Cenario 0 I(t),Cenario 0 R(t),Cenario 0 D(t),Cenario 1 S(t),Cenario 1 I(t),Cenario 1 R(t),Cenario 1 D(t),Cenario 2 S(t),Cenario 2 I(t),Cenario 2 R(t),Cenario 2 D(t),tempo(t)
036.7499997460,027.9338808448,007.3161194092,000.1463223882,040.0942740255,024.7054853298,007.2002406447,000.1440048129,036.9666926993,025.9906300692,009.0426772315,000.1808535446,056.3000
036.6473427346,028.0047948098,007.3478624556,000.1469572491,040.0447466006,024.7269383396,007.2283150598,000.1445663012,036.8706139358,026.0276392189,009.1017468453,000.1820349369,056.4000
036.5447126032,028.0756013107,007.3796860861,000.1475937217,039.9952374016,024.7483487450,007.2564138534,000.1451282771,036.7746484321,026.0644509971,009.1609005708,000.1832180114,056.5000
036.4421111251,028.1462986964,007.4115901785,000.1482318036,039.9457465974,024.7697164256,007.2845369770,000.1456907395,036.6787973299,026.1010647107,009.2201379594,000.1844027592,056.6000
036.3395400706,028.2168853206,007.4435746088,000.1488714922,039.8962743566,024.7910412614,007.3126843820,000.1462536876,036.5830617636,026.1374796753,009.2794585610,000.1855891712,056.7000
036.2370012072,028.2873595416,007.4756392512,000.1495127850,039.8468208474,024.8123231328,007.3408560198,000.1468171204,036.4874428603,026.1736952158,009.3388619239,000.1867772385,056.8000
036.1344962990,028.3577197231,007.5077839780,000.1501556796,039.7973862377,024.8335619208,007.3690518415,000.1473810368,036.3919417394,026.2097106657,009.3983475949,000.1879669519,056.9000
036.0320271071,028.4279642334,007.5400086595,000.1508001732,039.7479706949,024.8547575068,007.3972717983,000.1479454360,036.2965595131,026.2455253678,009.4579151191,000.1891583024,057.0000
035.9295953893,028.4980914464,007.5723131643,000.1514462633,039.6985743863,024.8759097728,007.4255158409,000.1485103168,036.2012972857,026.2811386739,009.5175640404,000.1903512808,057.1000
035.8272028998,028.5680997410,007.6046973591,000.1520939472,039.6491974785,024.8970186013,007.4537839202,000.1490756784,036.1061561543,026.3165499447,009.5772939010,000.1915458780,057.2000
035.7248513892,028.6379875019,007.6371611088,000.1527432222,039.5998401382,024.9180838750,007.4820759868,000.1496415197,036.0111372081,026.3517585500,009.6371042418,000.1927420848,057.3000
035.6225426045,028.7077531191,007.6697042764,000.1533940855,039.5505025313,024.9391054775,007.5103919912,000.1502078398,035.9162415289,026.3867638690,009.6969946022,000.1939398920,057.4000
035.5202782886,028.7773949882,007.7023267232,000.1540465345,039.5011848236,024.9600832927,007.5387318838,000.1507746377,035.8214701904,026.4215652895,009.7569645200,000.1951392904,057.5000
035.4180601808,028.8469115108,007.7350283084,000.1547005662,039.4518871804,024.9810172048,007.5670956148,000.1513419123,035.7268242591,026.4561622088,009.8170135321,000.1963402706,057.6000
035.3158900160,028.9163010944,007.7678088896,000.1553561778,039.4026097668,025.0019070989,007.5954831343,000.1519096627,035.6323047933,026.4905540332,009.8771411734,000.1975428235,057.7000
035.2137695251,028.9855621522,007.8006683227,000.1560133665,039.3533527473,025.0227528603,007.6238943924,000.1524778878,035.5379128438,026.5247401782,009.9373469781,000.1987469396,057.8000
035.1117004346,029.0546931039,007.8336064615,000.1566721292,039.3041162863,025.0435543748,007.6523293388,000.1530465868,035.4436494533,026.5587200682,009.9976304785,000.1999526096,057.9000
035.0096844665,029.1236923753,007.8666231582,000.1573324632,039.2549005477,025.0643115290,007.6807879233,000.1536157585,035.3495156569,026.5924931372,010.0579912059,000.2011598241,058.0000
034.9077233385,029.1925583983,007.8997182632,000.1579943653,039.2057056949,025.0850242096,007.7092700955,000.1541854019,035.2555124816,026.6260588281,010.1184286903,000.2023685738,058.1000
034.8058187633,029.2612896117,007.9328916250,000.1586578325,039.1565318910,025.1056923041,007.7377758049,000.1547555161,035.1616409467,026.6594165929,010.1789424604,000.2035788492,058.2000
034.7039724490,029.3298844606,007.9661430905,000.1593228618,039.1073792990,025.1263157004,007.7663050007,000.1553261000,035.0679020633,026.6925658932,010.2395320435,000.2047906409,058.3000
034.6021860987,029.3983413966,007.9994725046,000.1599894501,039.0582480810,025.1468942868,007.7948576321,000.1558971526,034.9742968346,026.7255061993,010.3001969660,000.2060039393,058.4000
034.5004614107,029.4666588785,008.0328797108,000.1606575942,039.0091383993,025.1674279524,007.8234336484,000.1564686730,034.8808262560,026.7582369912,010.3609367528,000.2072187351,058.5000
034.3988000780,029.5348353716,008.0663645504,000.1613272910,038.9600504153,025.1879165864,007.8520329983,000.1570406600,034.7874913144,026.7907577578,010.4217509278,000.2084350186,058.6000
034.2972037882,029.6028693484,008.0999268633,000.1619985373,038.9109842903,025.2083600789,007.8806556308,000.1576131126,034.6942929891,026.8230679972,010.4826390136,000.2096527803,058.7000
034.1956742240,029.6707592884,008.1335664876,000.1626713298,038.8619401851,025.2287583204,007.9093014945,000.1581860299,034.6012322511,026.8551672171,010.5436005318,000.2108720106,058.8000
034.0942130621,029.7385036784,008.1672832595,000.1633456652,038.8129182603,025.2491112017,007.9379705381,000.1587594108,034.5083100633,026.8870549339,010.6046350027,000.2120927001,058.9000
033.9928219741,029.8061010123,008.2010770137,000.1640215403,038.7639186758,025.2694186143,007.9666627099,000.1593332542,034.4155273805,026.9187306737,010.6657419458,000.2133148389,059.0000
033.8915026255,029.8735497915,008.2349475830,000.1646989517,038.7149415914,025.2896804503,007.9953779583,000.1599075592,034.3228851493,026.9501939716,010.7269208791,000.2145384176,059.1000
033.7902566764,029.9408485249,008.2688947987,000.1653778960,038.6659871663,025.3098966021,008.0241162316,000.1604823246,034.2303843080,026.9814443720,010.7881713200,000.2157634264,059.2000
033.6890857807,030.0079957291,008.3029184902,000.1660583698,038.6170555595,025.3300669628,008.0528774777,000.1610575496,034.1380257870,027.0124814285,010.8494927845,000.2169898557,059.3000
033.5879915865,030.0749899282,008.3370184853,000.1667403697,038.5681469293,025.3501914260,008.0816616447,000.1616332329,034.0458105082,027.0433047041,010.9108847877,000.2182176958,059.4000
033.4869757356,030.1418296541,008.3711946103,000.1674238922,038.5192614339,025.3702698857,008.1104686804,000.1622093736,033.9537393855,027.0739137707,010.9723468438,000.2194469369,059.5000
033.3860398638,030.2085134468,008.4054466894,000.1681089338,038.4703992310,025.3903022364,008.1392985326,000.1627859707,033.8618133243,027.1043082097,011.0338784661,000.2206775693,059.6000
033.2851856004,030.2750398540,008.4397745456,000.1687954909,038.4215604778,025.4102883734,008.1681511487,000.1633630230,033.7700332218,027.1344876117,011.0954791665,000.2219095833,059.7000
033.1844145683,030.3414074317,008.4741780000,000.1694835600,038.3727453312,025.4302281923,008.1970264764,000.1639405295,033.6783999670,027.1644515765,011.1571484566,000.2231429691,059.8000
033.0837283840,030.4076147439,008.5086568721,000.1701731374,038.3239539477,025.4501215893,008.2259244630,000.1645184893,033.5869144405,027.1941997130,011.2188858465,000.2243777169,059.9000
032.9831286573,030.4736603629,008.5432109797,000.1708642196,038.2751864833,025.4699684609,008.2548450557,000.1650969011,033.4955775146,027.2237316396,011.2806908459,000.2256138169,060.0000
032.8826169913,030.5395428695,008.5778401392,000.1715568028,038.2264430937,025.4897687046,008.2837882017,000.1656757640,033.4043900532,027.2530469836,011.3425629632,000.2268512593,060.1000
032.7821949822,030.6052608526,008.6125441652,000.1722508833,038.1777239341,025.5095222180,008.3127538480,000.1662550770,033.3133529121,027.2821453816,011.4045017064,000.2280900341,060.2000
032.6818642193,030.6708129100,008.6473228707,000.1729464574,038.1290291592,025.5292288994,008.3417419414,000.1668348388,033.2224669383,027.3110264794,011.4665065822,000.2293301316,060.3000
032.5816262850,030.7361976478,008.6821760672,000.1736435213,038.0803589236,025.5488886476,008.3707524288,000.1674150486,033.1317329709,027.3396899321,011.5285770970,000.2305715419,060.4000
032.4814827545,030.8014136810,008.7171035646,000.1743420713,038.0317133811,025.5685013621,008.3997852568,000.1679957051,033.0411518403,027.3681354038,011.5907127559,000.2318142551,060.5000
032.3814351958,030.8664596332,008.7521051710,000.1750421034,037.9830926853,025.5880669427,008.4288403720,000.1685768074,032.9507243685,027.3963625678,011.6529130636,000.2330582613,060.6000
032.2814851695,030.9313341372,008.7871806933,000.1757436139,037.9344969894,025.6075852898,008.4579177208,000.1691583544,032.8604513694,027.4243711066,011.7151775240,000.2343035505,060.7000
032.1816342291,030.9960358342,008.8223299367,000.1764465987,037.8859264460,025.6270563044,008.4870172495,000.1697403450,032.7703336481,027.4521607118,011.7775056402,000.2355501128,060.8000
032.0818839203,031.0605633750,008.8575527046,000.1771510541,037.8373812075,025.6464798881,008.5161389044,000.1703227781,032.6803720015,027.4797310840,011.8398969145,000.2367979383,060.9000
031.9822357814,031.1249154192,008.8928487994,000.1778569760,037.7888614257,025.6658559427,008.5452826315,000.1709056526,032.5905672180,027.5070819332,011.9023508488,000.2380470170,061.0000
031.8826913431,031.1890906355,008.9282180215,000.1785643604,037.7403672520,025.6851843710,008.5744483769,000.1714889675,032.5009200778,027.5342129782,011.9648669441,000.2392973389,061.1000
031.7832521281,031.2530877020,008.9636601699,000.1792732034,037.6918988375,025.7044650761,008.6036360864,000.1720727217,032.4114313522,027.5611239469,012.0274447009,000.2405488940,061.2000
031.6839196515,031.3169053062,008.9991750423,000.1799835008,037.6434563326,025.7236979615,008.6328457059,000.1726569141,032.3221018045,027.5878145765,012.0900836189,000.2418016724,061.3000
031.5846954203,031.3805421450,009.0347624347,000.1806952487,037.5950398876,025.7428829316,008.6620771808,000.1732415436,032.2329321894,027.6142846131,012.1527831975,000.2430556640,061.4000
031.4855809337,031.4439969246,009.0704221417,000.1814084428,037.5466496520,025.7620198911,008.6913304569,000.1738266091,032.1439232531,027.6405338117,012.2155429353,000.2443108587,061.5000
031.3865776827,031.5072683609,009.1061539564,000.1821230791,037.4982857753,025.7811087452,008.7206054795,000.1744121096,032.0550757333,027.6665619364,012.2783623303,000.2455672466,061.6000
031.2876871501,031.5703551795,009.1419576704,000.1828391534,037.4499484061,025.8001493999,008.7499021940,000.1749980439,031.9663903595,027.6923687604,012.3412408801,000.2468248176,061.7000
031.1889108105,031.6332561154,009.1778330740,000.1835566615,037.4016376929,025.8191417615,008.7792205455,000.1755844109,031.8778678525,027.7179540656,012.4041780819,000.2480835616,061.8000
031.0902501302,031.6959699139,009.2137799560,000.1842755991,037.3533537836,025.8380857370,008.8085604794,000.1761712096,031.7895089248,027.7433176431,012.4671734320,000.2493434686,061.9000
030.9917065669,031.7584953295,009.2497981036,000.1849959621,037.3050968258,025.8569812338,008.8379219404,000.1767584388,031.7013142805,027.7684592929,012.5302264267,000.2506045285,062.0000
030.8932815701,031.8208311271,009.2858873028,000.1857177461,037.2568669663,025.8758281600,008.8673048736,000.1773460975,031.6132846149,027.7933788236,012.5933365614,000.2518667312,062.1000
030.7949765805,031.8829760813,009.3220473382,000.1864409468,037.2086643520,025.8946264242,008.8967092238,000.1779341845,031.5254206154,027.8180760531,012.6565033315,000.2531300666,062.2000
030.6967930303,031.9449289768,009.3582779928,000.1871655599,037.1604891288,025.9133759355,008.9261349357,000.1785226987,031.4377229606,027.8425508078,012.7197262316,000.2543945246,062.3000
030.5987323430,032.0066886085,009.3945790485,000.1878915810,037.1123414426,025.9320766036,008.9555819538,000.1791116391,031.3501923207,027.8668029231,012.7830047562,000.2556600951,062.4000
030.5007959332,032.0682537812,009.4309502856,000.1886190057,037.0642214385,025.9507283388,008.9850502227,000.1797010045,031.2628293576,027.8908322432,012.8463383992,000.2569267680,062.5000
030.4029852068,032.1296233102,009.4673914830,000.1893478297,037.0161292614,025.9693310519,009.0145396867,000.1802907937,031.1756347247,027.9146386210,012.9097266543,000.2581945331,062.6000
030.3053015605,032.1907960208,009.5039024186,000.1900780484,036.9680650557,025.9878846542,009.0440502901,000.1808810058,031.0886090670,027.9382219182,012.9731690148,000.2594633803,062.7000
030.2077463824,032.2517707489,009.5404828686,000.1908096574,036.9200289651,026.0063890576,009.0735819772,000.1814716395,031.0017530211,027.9615820053,013.0366649737,000.2607332995,062.8000
030.1103210513,032.3125463405,009.5771326081,000.1915426522,036.8720211333,026.0248441746,009.1031346921,000.1820626938,030.9150672151,027.9847187612,013.1002140237,000.2620042805,062.9000
030.0130269369,032.3731216523,009.6138514108,000.1922770282,036.8240417031,026.0432499183,009.1327083786,000.1826541676,030.8285522690,028.0076320738,013.1638156572,000.2632763131,063.0000
029.9158653997,032.4334955513,009.6506390490,000.1930127810,036.7760908170,026.0616062022,009.1623029808,000.1832460596,030.7422087941,028.0303218395,013.2274693665,000.2645493873,063.1000
029.8188377909,032.4936669151,009.6874952940,000.1937499059,036.7281686172,026.0799129404,009.1919184424,000.1838383688,030.6560373934,028.0527879632,013.2911746434,000.2658234929,063.2000
029.7219454526,032.5536346319,009.7244199155,000.1944883983,036.6802752452,026.0981700477,009.2215547071,000.1844310941,030.5700386617,028.0750303586,013.3549309797,000.2670986196,063.3000
029.6251897174,032.6133976005,009.7614126821,000.1952282536,036.6324108421,026.1163774393,009.2512117185,000.1850242344,030.4842131854,028.0970489478,013.4187378669,000.2683747573,063.4000
029.5285719082,032.6729547306,009.7984733612,000.1959694672,036.5845755487,026.1345350311,009.2808894202,000.1856177884,030.3985615424,028.1188436614,013.4825947963,000.2696518959,063.5000
029.4320933389,032.7323049422,009.8356017188,000.1967120344,036.5367695052,026.1526427394,009.3105877554,000.1862117551,030.3130843024,028.1404144384,013.5465012591,000.2709300252,063.6000
029.3357553135,032.7914471666,009.8727975199,000.1974559504,036.4889928512,026.1707004812,009.3403066676,000.1868061334,030.2277820269,028.1617612266,013.6104567465,000.2722091349,063.7000
029.2395591265,032.8503803455,009.9100605281,000.1982012106,036.4412457261,026.1887081739,009.3700461000,000.1874009220,030.1426552689,028.1828839818,013.6744607493,000.2734892150,063.8000
029.1435060626,032.9091034317,009.9473905057,000.1989478101,036.3935282686,026.2066657358,009.3998059957,000.1879961199,030.0577045733,028.2037826684,013.7385127583,000.2747702552,063.9000
029.0475973971,032.9676153888,009.9847872142,000.1996957443,036.3458406170,026.2245730853,009.4295862976,000.1885917260,029.9729304765,028.2244572590,013.8026122644,000.2760522453,064.0000
028.9518343952,033.0259151914,010.0222504135,000.2004450083,036.2981829094,026.2424301418,009.4593869489,000.1891877390,029.8883335070,028.2449077348,013.8667587582,000.2773351752,064.1000
028.8562183124,033.0840018250,010.0597798625,000.2011955973,036.2505552829,026.2602368249,009.4892078922,000.1897841578,029.8039141848,028.2651340849,013.9309517303,000.2786190346,064.2000
028.7607503945,033.1418742863,010.0973753192,000.2019475064,036.2029578746,026.2779930550,009.5190490704,000.1903809814,029.7196730217,028.2851363069,013.9951906714,000.2799038134,064.3000
028.6654318771,033.1995315829,010.1350365399,000.2027007308,036.1553908208,026.2956987530,009.5489104262,000.1909782085,029.6356105215,028.3049144064,014.0594750721,000.2811895014,064.4000
028.5702639860,033.2569727336,010.1727632804,000.2034552656,036.1078542575,026.3133538405,009.5787919020,000.1915758380,029.5517271796,028.3244683974,014.1238044230,000.2824760885,064.5000
028.4752479370,033.3141967682,010.2105552949,000.2042111059,036.0603483202,026.3309582393,009.6086934405,000.1921738688,029.4680234833,028.3437983018,014.1881782148,000.2837635643,064.6000
028.3803849357,033.3712027277,010.2484123366,000.2049682467,036.0128731440,026.3485118721,009.6386149839,000.1927722997,029.3844999119,028.3629041498,014.2525959383,000.2850519188,064.7000
028.2856761778,033.4279896643,010.2863341579,000.2057266832,035.9654288632,026.3660146621,009.6685564747,000.1933711295,029.3011569365,028.3817859795,014.3170570840,000.2863411417,064.8000
028.1911228487,033.4845566415,010.3243205098,000.2064864102,035.9180156119,026.3834665331,009.6985178550,000.1939703571,029.2179950200,028.4004438369,014.3815611431,000.2876312229,064.9000
028.0967261237,033.5409027339,010.3623711424,000.2072474228,035.8706335238,026.4008674092,009.7284990670,000.1945699813,029.1350146173,028.4188777763,014.4461076064,000.2889221521,065.0000
028.0024871679,033.5970270275,010.4004858046,000.2080097161,035.8232827318,026.4182172155,009.7585000527,000.1951700011,029.0522161754,028.4370878597,014.5106959649,000.2902139193,065.1000
027.9084071361,033.6529286196,010.4386642444,000.2087732849,035.7759633686,026.4355158774,009.7885207540,000.1957704151,028.9696001330,028.4550741570,014.5753257101,000.2915065142,065.2000
027.8144871728,033.7086066185,010.4769062087,000.2095381242,035.7286755662,026.4527633208,009.8185611130,000.1963712223,028.8871669210,028.4728367459,014.6399963332,000.2927999267,065.3000
027.7207284121,033.7640601444,010.5152114435,000.2103042289,035.6814194563,026.4699594724,009.8486210713,000.1969724214,028.8049169622,028.4903757121,014.7047073258,000.2940941465,065.4000
027.6271319780,033.8192883284,010.5535796937,000.2110715939,035.6341951699,026.4871042594,009.8787005707,000.1975740114,028.7228506715,028.5076911488,014.7694581797,000.2953891636,065.5000
027.5336989838,033.8742903131,010.5920107031,000.2118402141,035.5870028378,026.5041976094,009.9087995528,000.1981759911,028.6409684559,028.5247831573,014.8342483868,000.2966849677,065.6000
027.4404305325,033.9290652527,010.6305042148,000.2126100843,035.5398425900,026.5212394508,009.9389179592,000.1987783592,028.5592707145,028.5416518461,014.8990774394,000.2979815488,065.7000
027.3473277167,033.9836123125,010.6690599708,000.2133811994,035.4927145563,026.5382297124,009.9690557313,000.1993811146,028.4777578383,028.5582973317,014.9639448300,000.2992788966,065.8000
027.2543916184,034.0379306695,010.7076777121,000.2141535542,035.4456188657,026.5551683238,009.9992128105,000.1999842562,028.3964302107,028.5747197381,015.0288500512,000.3005770010,065.9000
027.1616233092,034.0920195121,010.7463571787,000.2149271436,035.3985556469,026.5720552149,010.0293891382,000.2005877828,028.3152882072,028.5909191967,015.0937925961,000.3018758519,066.0000
027.0690238500,034.1458780400,010.7850981100,000.2157019622,035.3515250281,026.5888903164,010.0595846554,000.2011916931,028.2343321955,028.6068958466,015.1587719579,000.3031754392,066.1000
026.9765942913,034.1995054646,010.8239002441,000.2164780049,035.3045271371,026.6056735594,010.0897993035,000.2017959861,028.1535625355,028.6226498343,015.2237876303,000.3044757526,066.2000
026.8843356729,034.2529010086,010.8627633185,000.2172552664,035.2575621009,026.6224048757,010.1200330235,000.2024006605,028.0729795793,028.6381813136,015.2888391072,000.3057767821,066.3000
026.7922490240,034.3060639063,010.9016870697,000.2180337414,035.2106300462,026.6390841975,010.1502857563,000.2030057151,027.9925836714,028.6534904458,015.3539258829,000.3070785177,066.4000
026.7003353633,034.3589934035,010.9406712332,000.2188134247,035.1637310993,026.6557114578,010.1805574429,000.2036111489,027.9123751485,028.6685773994,015.4190474521,000.3083809490,066.5000
026.6085956987,034.4116887575,010.9797155439,000.2195943109,035.1168653858,026.6722865901,010.2108480241,000.2042169605,027.8323543398,028.6834423505,015.4842033098,000.3096840662,066.6000
026.5170310273,034.4641492370,011.0188197357,000.2203763947,035.0700330309,026.6888095284,010.2411574407,000.2048231488,027.7525215666,028.6980854819,015.5493929515,000.3109878590,066.7000
026.4256423358,034.5163741225,011.0579835416,000.2211596708,035.0232341593,026.7052802074,010.2714856333,000.2054297127,027.6728771430,028.7125069839,015.6146158730,000.3122923175,066.8000
026.3344306001,034.5683627059,011.0972066940,000.2219441339,034.9764688952,026.7216985622,010.3018325426,000.2060366509,027.5934213752,028.7267070541,015.6798715707,000.3135974314,066.9000
026.2433967853,034.6201142904,011.1364889244,000.2227297785,034.9297373623,026.7380645285,010.3321981092,000.2066439622,027.5141545619,028.7406858967,015.7451595413,000.3149031908,067.0000
026.1525418456,034.6716281910,011.1758299633,000.2235165993,034.8830396837,026.7543780429,010.3625822734,000.2072516455,027.4350769945,028.7544437235,015.8104792820,000.3162095856,067.1000
026.0618667249,034.7229037342,011.2152295408,000.2243045908,034.8363759821,026.7706390421,010.3929849758,000.2078596995,027.3561889568,028.7679807528,015.8758302904,000.3175166058,067.2000
025.9713723560,034.7739402580,011.2546873860,000.2250937477,034.7897463798,026.7868474637,010.4234061565,000.2084681231,027.2774907251,028.7812972101,015.9412120649,000.3188242413,067.3000
025.8810596609,034.8247371119,011.2942032272,000.2258840645,034.7431509983,026.8030032458,010.4538457559,000.2090769151,027.1989825683,028.7943933277,016.0066241040,000.3201324821,067.4000
025.7909295510,034.8752936569,011.3337767921,000.2266755358,034.6965899589,026.8191063270,010.4843037141,000.2096860743,027.1206647481,028.8072693449,016.0720659070,000.3214413181,067.5000
025.7009829269,034.9256092655,011.3734078076,000.2274681562,034.6500633821,026.8351566466,010.5147799713,000.2102955994,027.0425375186,028.8199255076,016.1375369737,000.3227507395,067.6000
025.6112206781,034.9756833219,011.4130960000,000.2282619200,034.6035713882,026.8511541443,010.5452744675,000.2109054893,026.9646011270,028.8323620686,016.2030368044,000.3240607361,067.7000
025.5216436837,035.0255152216,011.4528410946,000.2290568219,034.5571140967,026.8670987606,010.5757871426,000.2115157429,026.8868558127,028.8445792873,016.2685649000,000.3253712980,067.8000
025.4322528118,035.0751043717,011.4926428165,000.2298528563,034.5106916268,026.8829904365,010.6063179367,000.2121263587,026.8093018083,028.8565774297,016.3341207620,000.3266824152,067.9000
025.3430489196,035.1244501908,011.5325008896,000.2306500178,034.4643040972,026.8988291133,010.6368667895,000.2127373358,026.7319393389,028.8683567685,016.3997038926,000.3279940779,068.0000
025.2540328537,035.1735521088,011.5724150376,000.2314483008,034.4179516259,026.9146147334,010.6674336407,000.2133486728,026.6547686227,028.8799175830,016.4653137943,000.3293062759,068.1000
025.1652054496,035.2224095672,011.6123849831,000.2322476997,034.3716343305,026.9303472393,010.6980184302,000.2139603686,026.5777898706,028.8912601588,016.5309499706,000.3306189994,068.2000
025.0765675323,035.2710220191,011.6524104486,000.2330482090,034.3253523281,026.9460265744,010.7286210975,000.2145724220,026.5010032865,028.9023847880,016.5966119255,000.3319322385,068.3000
024.9881199157,035.3193889289,011.6924911554,000.2338498231,034.2791057353,026.9616526824,010.7592415823,000.2151848316,026.4244090670,028.9132917693,016.6622991637,000.3332459833,068.4000
024.8998634031,035.3675097722,011.7326268246,000.2346525365,034.2328946681,026.9772255079,010.7898798239,000.2157975965,026.3480074021,028.9239814074,016.7280111904,000.3345602238,068.5000
024.8117987869,035.4153840364,011.7728171767,000.2354563435,034.1867192422,026.9927449958,010.8205357620,000.2164107152,026.2717984745,028.9344540137,016.7937475118,000.3358749502,068.6000
024.7239268486,035.4630112201,011.8130619312,000.2362612386,034.1405795724,027.0082110917,010.8512093359,000.2170241867,026.1957824600,028.9447099054,016.8595076346,000.3371901527,068.7000
024.6362483591,035.5103908332,011.8533608076,000.2370672162,034.0944757734,027.0236237417,010.8819004848,000.2176380097,026.1199595276,028.9547494062,016.9252910662,000.3385058213,068.8000
024.5487640783,035.5575223972,011.8937135245,000.2378742705,034.0484079592,027.0389828926,010.9126091482,000.2182521830,026.0443298393,028.9645728458,016.9910973148,000.3398219463,068.9000
024.4614747555,035.6044054446,011.9341197999,000.2386823960,034.0023762432,027.0542884917,010.9433352651,000.2188667053,025.9688935505,028.9741805601,017.0569258895,000.3411385178,069.0000
024.3743811290,035.6510395194,011.9745793516,000.2394915870,033.9563807384,027.0695404869,010.9740787748,000.2194815755,025.8936508094,028.9835728908,017.1227762998,000.3424555260,069.1000
024.2874839265,035.6974241770,012.0150918965,000.2403018379,033.9104215572,027.0847388266,011.0048396162,000.2200967923,025.8186017578,028.9927501858,017.1886480564,000.3437729611,069.2000
024.2007838649,035.7435589839,012.0556571512,000.2411131430,033.8644988116,027.0998834598,011.0356177285,000.2207123546,025.7437465307,029.0017127988,017.2545406705,000.3450908134,069.3000
024.1142816503,035.7894435178,012.0962748319,000.2419254966,033.8186126131,027.1149743363,011.0664130506,000.2213282610,025.6690852564,029.0104610895,017.3204536541,000.3464090731,069.4000
024.0279779782,035.8350773677,012.1369446541,000.2427388931,033.7727630724,027.1300114061,011.0972255215,000.2219445104,025.5946180565,029.0189954233,017.3863865202,000.3477277304,069.5000
023.9418735333,035.8804601338,012.1776663329,000.2435533267,033.7269503001,027.1449946201,011.1280550799,000.2225611016,025.5203450461,029.0273161714,017.4523387825,000.3490467757,069.6000
023.8559689894,035.9255914276,012.2184395831,000.2443687917,033.6811744058,027.1599239295,011.1589016647,000.2231780333,025.4462663336,029.0354237107,017.5183099557,000.3503661991,069.7000
023.7702650099,035.9704708714,012.2592641188,000.2451852824,033.6354354991,027.1747992863,011.1897652146,000.2237953043,025.3723820212,029.0433184238,017.5842995550,000.3516859911,069.8000
023.6847622474,036.0150980988,012.3001396539,000.2460027931,033.5897336887,027.1896206430,011.2206456683,000.2244129134,025.2986922041,029.0510006990,017.6503070969,000.3530061419,069.9000
023.5994613438,036.0594727545,012.3410659017,000.2468213180,033.5440690828,027.2043879526,011.2515429645,000.2250308593,025.2251969716,029.0584709299,017.7163320985,000.3543266420,070.0000
023.5143629304,036.1035944943,012.3820425753,000.2476408515,033.4984417894,027.2191011689,011.2824570417,000.2256491408,025.1518964064,029.0657295158,017.7823740779,000.3556474816,070.1000
023.4294676280,036.1474629848,012.4230693872,000.2484613877,033.4528519156,027.2337602459,011.3133878385,000.2262677568,025.0787905846,029.0727768614,017.8484325540,000.3569686511,070.2000
023.3447760467,036.1910779037,012.4641460497,000.2492829210,033.4072995682,027.2483651385,011.3443352934,000.2268867059,025.0058795763,029.0796133768,017.9145070469,000.3582901409,070.3000
023.2602887858,036.2344389396,012.5052722746,000.2501054455,033.3617848533,027.2629158020,011.3752993446,000.2275059869,024.9331634453,029.0862394774,017.9805970773,000.3596119415,070.4000
023.1760064344,036.2775457922,012.5464477734,000.2509289555,033.3163078767,027.2774121925,011.4062799308,000.2281255986,024.8606422490,029.0926555840,018.0467021670,000.3609340433,070.5000
023.0919295710,036.3203981718,012.5876722572,000.2517534451,033.2708687436,027.2918542663,011.4372769901,000.2287455398,024.7883160387,029.0988621225,018.1128218388,000.3622564368,070.6000
023.0080587633,036.3629957997,012.6289454370,000.2525789087,033.2254675586,027.3062419806,011.4682904609,000.2293658092,024.7161848597,029.1048595240,018.1789556163,000.3635791123,070.7000
022.9243945689,036.4053384080,012.6702670231,000.2534053405,033.1801044257,027.3205752930,011.4993202813,000.2299864056,024.6442487509,029.1106482248,018.2451030244,000.3649020605,070.8000
022.8409375347,036.4474257395,012.7116367258,000.2542327345,033.1347794486,027.3348541618,011.5303663896,000.2306073278,024.5725077452,029.1162286663,018.3112635885,000.3662252718,070.9000
022.7576881972,036.4892575477,012.7530542551,000.2550610851,033.0894927304,027.3490785457,011.5614287239,000.2312285745,024.5009618698,029.1216012947,018.3774368355,000.3675487367,071.0000
022.6746470826,036.5308335969,012.7945193205,000.2558903864,033.0442443737,027.3632484041,011.5925072222,000.2318501444,024.4296111455,029.1267665615,018.4436222930,000.3688724459,071.1000
022.5918147067,036.5721536619,012.8360316314,000.2567206326,032.9990344803,027.3773636970,011.6236018227,000.2324720365,024.3584555874,029.1317249229,018.5098194897,000.3701963898,071.2000
022.5091915748,036.6132175283,012.8775908969,000.2575518179,032.9538631519,027.3914243849,011.6547124632,000.2330942493,024.2874952046,029.1364768399,018.5760279554,000.3715205591,071.3000
022.4267781820,036.6540249920,012.9191968259,000.2583839365,032.9087304893,027.4054304288,011.6858390818,000.2337167816,024.2167300005,029.1410227786,018.6422472210,000.3728449444,071.4000
022.3445750132,036.6945758597,012.9608491270,000.2592169825,032.8636365931,027.4193817904,011.7169816164,000.2343396323,024.1461599724,029.1453632094,018.7084768182,000.3741695364,071.5000
022.2625825430,036.7348699483,013.0025475087,000.2600509502,032.8185815632,027.4332784320,011.7481400048,000.2349628001,024.0757851122,029.1494986078,018.7747162800,000.3754943256,071.6000
022.1808012355,036.7749070854,013.0442916791,000.2608858336,032.7735654989,027.4471203162,011.7793141849,000.2355862837,024.0056054057,029.1534294538,018.8409651405,000.3768193028,071.7000
