70,2,0,0
69.986,2.0117,0.0022727,0.1
69.972,2.0235,0.0045588,0.2
69.958,2.0354,0.0068582,0.3
69.944,2.0473,0.0091712,0.4
69.929,2.0593,0.011498,0.5
69.915,2.0714,0.013838,0.6
69.9,2.0835,0.016192,0.7
69.886,2.0957,0.018559,0.8
69.871,2.1079,0.020941,0.9
69.856,2.1203,0.023336,1
69.842,2.1327,0.025745,1.1
69.827,2.1452,0.028169,1.2
69.812,2.1577,0.030607,1.3
69.797,2.1703,0.033059,1.4
69.781,2.183,0.035525,1.5
69.766,2.1957,0.038005,1.6
69.751,2.2086,0.040501,1.7
69.736,2.2215,0.04301,1.8
69.72,2.2344,0.045535,1.9
69.704,2.2475,0.048074,2
69.689,2.2606,0.050628,2.1
69.673,2.2738,0.053197,2.2
69.657,2.287,0.05578,2.3
69.641,2.3004,0.058379,2.4
69.625,2.3138,0.060993,2.5
69.609,2.3272,0.063623,2.6
69.593,2.3408,0.066267,2.7
69.577,2.3544,0.068927,2.8
69.56,2.3681,0.071603,2.9
69.544,2.3819,0.074294,3
69.527,2.3958,0.077001,3.1
69.511,2.4097,0.079723,3.2
69.494,2.4237,0.082461,3.3
69.477,2.4378,0.085216,3.4
69.46,2.452,0.087986,3.5
69.443,2.4662,0.090772,3.6
69.426,2.4805,0.093575,3.7
69.409,2.4949,0.096393,3.8
69.391,2.5094,0.099229,3.9
69.374,2.524,0.10208,4
69.356,2.5386,0.10495,4.1
69.339,2.5534,0.10783,4.2
69.321,2.5682,0.11073,4.3
69.303,2.583,0.11365,4.4
69.285,2.598,0.11659,4.5
69.267,2.6131,0.11954,4.6
69.249,2.6282,0.12251,4.7
69.231,2.6434,0.1255,4.8
69.213,2.6587,0.1285,4.9
69.194,2.6741,0.13152,5
69.176,2.6895,0.13456,5.1
69.157,2.7051,0.13762,5.2
69.139,2.7207,0.14069,5.3
69.12,2.7364,0.14378,5.4
69.101,2.7522,0.14689,5.5
69.082,2.7681,0.15002,5.6
69.063,2.7841,0.15317,5.7
69.043,2.8002,0.15633,5.8
69.024,2.8163,0.15951,5.9
69.005,2.8326,0.16271,6
68.985,2.8489,0.16593,6.1
68.966,2.8653,0.16917,6.2
68.946,2.8818,0.17242,6.3
68.926,2.8984,0.1757,6.4
68.906,2.9151,0.17899,6.5
68.886,2.9319,0.1823,6.6
68.866,2.9487,0.18564,6.7
68.845,2.9657,0.18899,6.8
68.825,2.9827,0.19236,6.9
68.804,2.9999,0.19575,7
68.784,3.0171,0.19916,7.1
68.763,3.0344,0.20258,7.2
68.742,3.0518,0.20603,7.3
68.721,3.0694,0.2095,7.4
68.7,3.087,0.21299,7.5
68.679,3.1047,0.2165,7.6
68.658,3.1225,0.22002,7.7
68.636,3.1403,0.22357,7.8
68.615,3.1583,0.22714,7.9
68.593,3.1764,0.23073,8
68.571,3.1946,0.23434,8.1
68.549,3.2129,0.23797,8.2
68.527,3.2312,0.24162,8.3
68.505,3.2497,0.24529,8.4
68.483,3.2683,0.24899,8.5
68.46,3.287,0.2527,8.6
68.438,3.3057,0.25643,8.7
68.415,3.3246,0.26019,8.8
68.392,3.3436,0.26397,8.9
68.37,3.3626,0.26777,9
68.347,3.3818,0.27159,9.1
68.324,3.4011,0.27543,9.2
68.3,3.4204,0.2793,9.3
68.277,3.4399,0.28318,9.4
68.253,3.4595,0.28709,9.5
68.23,3.4792,0.29102,9.6
68.206,3.4989,0.29498,9.7
68.182,3.5188,0.29895,9.8
68.158,3.5388,0.30295,9.9
68.134,3.5589,0.30697,10
68.11,3.5791,0.31102,10.1
68.085,3.5994,0.31509,10.2
68.061,3.6199,0.31918,10.3
68.036,3.6404,0.32329,10.4
68.012,3.661,0.32743,10.5
67.987,3.6818,0.33159,10.6
67.962,3.7026,0.33577,10.7
67.936,3.7236,0.33998,10.8
67.911,3.7446,0.34421,10.9
67.886,3.7658,0.34846,11
67.86,3.7871,0.35274,11.1
67.834,3.8085,0.35705,11.2
67.809,3.83,0.36138,11.3
67.783,3.8516,0.36573,11.4
67.757,3.8733,0.3701,11.5
67.73,3.8952,0.37451,11.6
67.704,3.9171,0.37893,11.7
67.677,3.9392,0.38338,11.8
67.651,3.9614,0.38786,11.9
67.624,3.9837,0.39236,12
67.597,4.0061,0.39689,12.1
67.57,4.0286,0.40144,12.2
67.543,4.0513,0.40602,12.3
67.515,4.074,0.41062,12.4
67.488,4.0969,0.41525,12.5
67.46,4.1199,0.41991,12.6
67.432,4.143,0.42459,12.7
67.404,4.1662,0.4293,12.8
67.376,4.1896,0.43403,12.9
67.348,4.2131,0.43879,13
67.32,4.2366,0.44358,13.1
67.291,4.2603,0.44839,13.2
67.263,4.2842,0.45324,13.3
67.234,4.3081,0.4581,13.4
67.205,4.3322,0.463,13.5
67.176,4.3564,0.46792,13.6
67.146,4.3807,0.47287,13.7
67.117,4.4051,0.47785,13.8
67.087,4.4297,0.48286,13.9
67.058,4.4544,0.48789,14
67.028,4.4792,0.49295,14.1
66.998,4.5041,0.49804,14.2
66.968,4.5292,0.50316,14.3
66.937,4.5544,0.50831,14.4
66.907,4.5797,0.51348,14.5
66.876,4.6051,0.51869,14.6
66.845,4.6307,0.52392,14.7
66.814,4.6564,0.52918,14.8
66.783,4.6822,0.53447,14.9
66.752,4.7081,0.53979,15
66.721,4.7342,0.54514,15.1
66.689,4.7604,0.55052,15.2
66.657,4.7868,0.55593,15.3
66.625,4.8132,0.56137,15.4
66.593,4.8398,0.56684,15.5
66.561,4.8665,0.57234,15.6
66.529,4.8934,0.57787,15.7
